LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984586 ;	 -1.12408e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 1.92033e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t -0.00111021 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.36271e-05 ;	 174
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869156 ;	 4.60811 ;	 -0.0984585 ;	 1.03926e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9438 ;	 245.022 ;	 -1.65489e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t 0.00102643 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.37358e-05 ;	 174
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869096 ;	 4.60811 ;	 -0.0984906 ;	 1.26614e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9397 ;	 245.022 ;	 -3.37552e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2453 ;	 180 ;	 0 ;|t 0.0012505 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.33937e-05 ;	 174
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92393e-05 ;	 4.60885 ;	 -0.336478 ;	 -1.04307e-06 ;	 -0.565406 ;	 -1.69875 ;	 |MotorD: 180 ;	 0 ;|t 0.0194929 ;	 251.596 ;	 6.33474e-08 ;|t 2304.43 ;	 195.559 ;	 0 ;|t -168.239 ;	 180 ;	 0 ;|t -0.00103019 ;	 102.373 ;	 0 ;|t -734.342 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 214
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984586 ;	 -1.12408e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 1.92033e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t -0.00111021 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.36271e-05 ;	 214
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869156 ;	 4.60811 ;	 -0.0984585 ;	 1.03926e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9438 ;	 245.022 ;	 -1.65489e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t 0.00102643 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.37358e-05 ;	 214
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869096 ;	 4.60811 ;	 -0.0984906 ;	 1.26614e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9397 ;	 245.022 ;	 -3.37552e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2453 ;	 180 ;	 0 ;|t 0.0012505 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.33937e-05 ;	 214
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.91853e-05 ;	 4.60885 ;	 -0.336445 ;	 -1.05047e-06 ;	 -0.565423 ;	 -1.69874 ;	 |MotorD: 180 ;	 0 ;|t 0.0194569 ;	 251.596 ;	 2.94801e-07 ;|t 2304.43 ;	 195.559 ;	 0 ;|t -168.223 ;	 180 ;	 0 ;|t -0.0010375 ;	 102.373 ;	 0 ;|t -734.33 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 251
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60814 ;	 -0.0984586 ;	 -1.12012e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 9.73366e-08 ;|t 2304.07 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t -0.00110629 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.68634e-05 ;	 252
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869157 ;	 4.60814 ;	 -0.0984585 ;	 1.03723e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9438 ;	 245.022 ;	 -3.16621e-07 ;|t 2304.07 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t 0.00102442 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.21807e-05 ;	 252
